### MNXref Version 18/02/2013 ###
#
#FILE:	comp_xref.tsv
#
#RESOURCE:	The Gene Ontology
#PREFIX:	go
#URL:	http://www.geneontology.org
#VERSION:	09/06/2012
#LICENSE:	The GO Consortium gives permission for any of its products to be used 
#	without license for any purpose under three conditions: 
#	 1- That the Gene Ontology Consortium is clearly acknowledged as the source of 
#	the product; 
#	 2- That any GO Consortium file(s) displayed publicly include the date(s) and/or 
#	version number(s) of the relevant GO file(s) (the GO is evolving and changes will 
#	occur with time); 
#	 3- That neither the content of the GO file(s) nor the logical relationships embedded 
#	within the GO file(s) be altered in any way. 
#	(http://www.geneontology.org/GO.cite.shtml) 
#
#RESOURCE:	The Cell Component Ontology
#PREFIX:	cco
#URL:	http://bioinformatics.ai.sri.com/CCO/
#VERSION:	Version 16.5
#LICENSE:	MetaCyc data are free and open for all users. 
#	(http://biocyc.org/download.shtml) 
#
#RESOURCE:	BiGG
#PREFIX:	bigg
#URL:	http://bigg.ucsd.edu
#VERSION:	10/12/2012
#LICENSE:	Permission to use, copy, modify and distribute any part of this BiGG Database 
#	for educational, research and non-profit purposes, without fee, and without a 
#	written agreement is granted, provided that the above copyright notice, this paragraph 
#	and the following three paragraphs appear in all copies. 
#	Those desiring to incorporate this BiGG database into commercial products or use 
#	for commercial purposes should contact the Technology Transfer & Intellectual 
#	Property Services, University of California, San Diego, 9500 Gilman Drive, Mail 
#	Code 0910, La Jolla, CA 92093-0910, Ph: (858) 534-5815, FAX: (858) 534-7345, e-mail:invent@ucsd.edu. 
#	IN NO EVENT SHALL THE UNIVERSITY OF CALIFORNIA BE LIABLE TO ANY PARTY FOR DIRECT, 
#	INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, 
#	ARISING OUT OF THE USE OF THIS BIGG DATABASE, EVEN IF THE UNIVERSITY OF CALIFORNIA 
#	HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
#	THE BIGG DATABASE PROVIDED HEREIN IS ON AN "AS IS" BASIS, AND THE UNIVERSITY OF 
#	CALIFORNIA HAS NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, 
#	OR MODIFICATIONS. THE UNIVERSITY OF CALIFORNIA MAKES NO REPRESENTATIONS AND EXTENDS 
#	NO WARRANTIES OF ANY KIND, EITHER IMPLIED OR EXPRESS, INCLUDING, BUT NOT LIMITED 
#	TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, 
#	OR THAT THE USE OF THE BIGG DATABASE WILL NOT INFRINGE ANY PATENT, TRADEMARK OR 
#	OTHER RIGHTS. 
#	(http://bigg.ucsd.edu/) 
#
#
#XREF	MNX_ID	Description
go:0001529	MNXC1	elastin
go:0001533	MNXC1	cornified envelope
go:0001534	MNXC1	radial spoke
go:0001535	MNXC1	radial spokehead
go:0001536	MNXC1	radial spoke stalk
go:0001650	MNXC6	fibrillar center|fibrillar centre
go:0001651	MNXC6	dense fibrillar component
go:0001652	MNXC6	granular component
go:0001669	MNXC3	acrosomal vesicle|acrosomal granule
go:0001673	MNXC6	male germ cell nucleus|male germ-cell nucleus
go:0001674	MNXC6	female germ cell nucleus|female germ-cell nucleus
go:0001683	MNXC1	axonemal dynein heavy chain
go:0001684	MNXC1	axonemal dynein intermediate chain
go:0001685	MNXC1	axonemal dynein intermediate light chain
go:0001686	MNXC1	axonemal dynein light chain
go:0001687	MNXC1	cytoplasmic dynein heavy chain
go:0001688	MNXC1	cytoplasmic dynein intermediate chain
go:0001689	MNXC1	cytoplasmic dynein intermediate light chain
go:0001690	MNXC1	cytoplasmic dynein light chain
go:0001721	MNXC1	intermediate filament associated protein|IFAP
go:0001722	MNXC1	type I intermediate filament associated protein
go:0001723	MNXC1	type II intermediate filament associated protein
go:0001724	MNXC1	type III intermediate filament associated protein
go:0001725	MNXC1	stress fiber|stress fibre
go:0001726	MNXC1	ruffle
go:0001739	MNXC6	sex chromatin
go:0001740	MNXC6	Barr body
go:0001741	MNXC1	XY body
go:0001750	MNXC1	photoreceptor outer segment
go:0001772	MNXC20	immunological synapse|supramolecular activation cluster
go:0001891	MNXC20	phagocytic cup
go:0001917	MNXC1	photoreceptor inner segment
go:0001931	MNXC1	uropod|uropodium
go:0001939	MNXC6	female pronucleus
go:0001940	MNXC6	male pronucleus
go:0001950	MNXC1	plasma membrane enriched fraction
go:0002079	MNXC1	inner acrosomal membrane
go:0002080	MNXC3	acrosomal membrane
go:0002081	MNXC1	outer acrosomal membrane
go:0002095	MNXC20	caveolar macromolecular signaling complex|caveolar macromolecular signalling complex
go:0002096	MNXC3	polkadots
go:0002102	MNXC1	podosome
go:0002111	MNXC6	BRCA2-BRAF35 complex
go:0002116	MNXC1	semaphorin receptor complex|plexin-neurophilin complex
go:0002133	MNXC1	polycystin complex
go:0002137	MNXC6	nuclear cluster
go:0002139	MNXC1	stereocilia coupling link
go:0002140	MNXC1	stereocilia tip link
go:0002141	MNXC1	stereocilia ankle link
go:0002142	MNXC1	stereocilia ankle link complex
go:0002144	MNXC3	cytosolic tRNA wobble base thiouridylase complex
go:0002167	MNXC1	VRK3/VHR/ERK complex
go:0002169	MNXC4	3-methylcrotonyl-CoA carboxylase complex, mitochondrial
go:0002177	MNXC1	manchette
go:0002178	MNXC1	palmitoyltransferase complex
go:0002179	MNXC1	homodimeric serine palmitoyltransferase complex
go:0002180	MNXC7	5-lipoxygenase complex
go:0002185	MNXC1	creatine kinase complex
go:0002186	MNXC3	cytosolic creatine kinase complex
go:0002187	MNXC4	mitochondrial creatine kinase complex
go:0002189	MNXC1	ribose phosphate diphosphokinase complex|PRPP synthetase complex|phosphoribosylpyrophosphate synthetase complex
go:0002193	MNXC1	MAML1-RBP-Jkappa- ICN1 complex|MAML1-CSL-ICN1|MAML1-CSL-Notch1 complex|MAML1-RBP-Jkappa-Notch1 complex
go:0002197	MNXC1	xanthine dehydrogenase complex
go:0002199	MNXC1	sperm protein complex
go:0002929	MNXC1	MECO complex|meta-coactivator complex
go:0003675	MNXC1	protein
go:0005559	MNXC1	ribozyme
go:0005561	MNXC1	nucleic acid
go:0005562	MNXC1	RNA
go:0005564	MNXC1	cytosolic tRNA
go:0005565	MNXC1	mitochondrial tRNA
go:0005567	MNXC1	cytosolic ribosomal RNA
go:0005568	MNXC1	mitochondrial rRNA
go:0005571	MNXC1	untranslated RNA
go:0005572	MNXC1	RNA polymerase II transcribed untranslated RNA
go:0005573	MNXC1	telomerase RNA
go:0005574	MNXC1	DNA
go:0005575	MNXC1	cellular_component|cellular component
go:0005576	MNXC2	extracellular region|extracellular
go:0005577	MNXC2	fibrinogen complex|fibrinogen
go:0005578	MNXC2	proteinaceous extracellular matrix
go:0005579	MNXC20	membrane attack complex|terminal complement complex|MAC|TCC
go:0005580	MNXC1	membrane attack complex protein alphaM chain
go:0005581	MNXC1	collagen
go:0005582	MNXC1	collagen type XV
go:0005583	MNXC1	fibrillar collagen
go:0005584	MNXC1	collagen type I
go:0005585	MNXC1	collagen type II
go:0005586	MNXC1	collagen type III
go:0005587	MNXC1	collagen type IV
go:0005588	MNXC1	collagen type V
go:0005589	MNXC1	collagen type VI
go:0005590	MNXC1	collagen type VII
go:0005591	MNXC1	collagen type VIII
go:0005592	MNXC1	collagen type XI
go:0005593	MNXC1	FACIT collagen
go:0005594	MNXC1	collagen type IX
go:0005595	MNXC1	collagen type XII
go:0005596	MNXC1	collagen type XIV
go:0005597	MNXC1	collagen type XVI
go:0005598	MNXC1	short-chain collagen
go:0005599	MNXC1	collagen type X
go:0005600	MNXC1	collagen type XIII
go:0005601	MNXC2	classical-complement-pathway C3/C5 convertase complex
go:0005602	MNXC2	complement component C1 complex
go:0005603	MNXC1	complement component C2 complex
go:0005604	MNXC1	basement membrane
go:0005605	MNXC1	basal lamina|basement lamina
go:0005606	MNXC1	laminin-1 complex
go:0005607	MNXC1	laminin-2 complex
go:0005608	MNXC1	laminin-3 complex
go:0005609	MNXC1	laminin-4 complex
go:0005610	MNXC1	laminin-5 complex
go:0005611	MNXC1	laminin-6 complex
go:0005612	MNXC1	laminin-7 complex
go:0005613	MNXC1	laminin receptor protein
go:0005614	MNXC2	interstitial matrix
go:0005615	MNXC2	extracellular space
go:0005616	MNXC2	larval serum protein complex
go:0005617	MNXC1	larval serum protein-1|LSP1
go:0005618	MNXC22	cell wall
go:0005619	MNXC22	ascospore wall
go:0005621	MNXC22	cellular bud scar
go:0005622	MNXC1	intracellular|protoplasm|internal to cell
go:0005623	MNXC1	cell
go:0005624	MNXC1	membrane fraction
go:0005625	MNXC1	soluble fraction
go:0005626	MNXC1	insoluble fraction
go:0005627	MNXC1	ascus
go:0005628	MNXC1	prospore membrane|FSM|ascospore-type prospore membrane
go:0005630	MNXC22	dityrosine layer of spore wall
go:0005631	MNXC22	chitosan layer of spore wall
go:0005632	MNXC22	inner layer of spore wall
go:0005633	MNXC3	ascus lipid particle|ascus lipid droplet
go:0005634	MNXC6	nucleus|cell nucleus
go:0005635	MNXC6	nuclear envelope
go:0005637	MNXC7	nuclear inner membrane|inner nuclear membrane
go:0005638	MNXC6	lamin filament|type V intermediate filament
go:0005639	MNXC7	integral to nuclear inner membrane
go:0005640	MNXC7	nuclear outer membrane|perinuclear membrane
go:0005641	MNXC6	nuclear envelope lumen|nuclear intermembrane space|perinuclear space
go:0005642	MNXC1	annulate lamellae
go:0005643	MNXC6	nuclear pore|NPC|nucleopore|nuclear pore complex
go:0005645	MNXC1	RAN-binding protein
go:0005646	MNXC1	importin|karyopherin
go:0005647	MNXC1	importin, alpha-subunit|karyopherin-alpha
go:0005648	MNXC1	importin, beta-subunit|karyopherin-beta1
go:0005649	MNXC1	transportin|karyopherin-beta2
go:0005650	MNXC1	importin, alpha-subunit transport factor
go:0005651	MNXC1	exportin
go:0005652	MNXC6	nuclear lamina
go:0005654	MNXC6	nucleoplasm
go:0005655	MNXC6	nucleolar ribonuclease P complex|nucleolar RNase P complex
go:0005656	MNXC6	pre-replicative complex|pre-RC
go:0005657	MNXC1	replication fork
go:0005658	MNXC6	alpha DNA polymerase:primase complex|DNA polymerase alpha:primase complex|heterotetrameric polymerase alpha holoenzyme
go:0005660	MNXC1	delta-DNA polymerase cofactor complex|delta DNA polymerase cofactor complex
go:0005662	MNXC6	DNA replication factor A complex|replication protein A|RPA
go:0005663	MNXC1	DNA replication factor C complex|activator 1 complex|RFC complex
go:0005664	MNXC6	nuclear origin of replication recognition complex|nuclear ORC|eukaryotic ORC
go:0005665	MNXC6	DNA-directed RNA polymerase II, core complex
go:0005666	MNXC6	DNA-directed RNA polymerase III complex
go:0005667	MNXC6	transcription factor complex
go:0005668	MNXC6	RNA polymerase transcription factor SL1 complex|selectivity factor SL1 complex|TIF-IB
go:0005669	MNXC6	transcription factor TFIID complex
go:0005670	MNXC1	transcription-activating factor, 30kD
go:0005671	MNXC1	Ada2/Gcn5/Ada3 transcription activator complex|Ada Two-A containing complex|Ada-Two-A-containing complex|ATAC complex
go:0005672	MNXC6	transcription factor TFIIA complex
go:0005673	MNXC6	transcription factor TFIIE complex
go:0005674	MNXC6	transcription factor TFIIF complex
go:0005675	MNXC6	holo TFIIH complex
go:0005677	MNXC6	chromatin silencing complex
go:0005678	MNXC6	chromatin assembly complex
go:0005680	MNXC6	anaphase-promoting complex|anaphase promoting complex|cyclosome
go:0005681	MNXC6	spliceosomal complex|spliceosome complex
go:0005682	MNXC6	U5 snRNP|snRNP U5
go:0005683	MNXC6	U7 snRNP|snRNP U7
go:0005684	MNXC6	U2-type spliceosomal complex|major (U2-type) spliceosomal complex|major spliceosomal complex
go:0005685	MNXC6	U1 snRNP|snRNP U1
go:0005686	MNXC6	U2 snRNP|snRNP U2
go:0005687	MNXC6	U4 snRNP|snRNP U4
go:0005688	MNXC6	U6 snRNP|snRNP U6
go:0005689	MNXC6	U12-type spliceosomal complex|minor (U12-type) spliceosomal complex|minor spliceosomal complex
go:0005690	MNXC6	U4atac snRNP|snRNP U4atac
go:0005691	MNXC6	U6atac snRNP|snRNP U6atac
go:0005692	MNXC6	U11 snRNP|snRNP U11
go:0005693	MNXC6	U12 snRNP|snRNP U12
go:0005694	MNXC1	chromosome
go:0005695	MNXC1	chromatid
go:0005696	MNXC1	telomere
go:0005697	MNXC6	telomerase holoenzyme complex
go:0005698	MNXC1	centromere
go:0005700	MNXC1	polytene chromosome
go:0005701	MNXC1	polytene chromosome chromocenter|polytene chromosome chromocentre
go:0005702	MNXC1	polytene chromosome weak point
go:0005703	MNXC1	polytene chromosome puff
go:0005704	MNXC1	polytene chromosome band
go:0005705	MNXC1	polytene chromosome interband
go:0005706	MNXC1	polytene chromosome ectopic fiber|polytene chromosome ectopic fibre
go:0005707	MNXC1	interphase chromosome
go:0005708	MNXC1	mitotic chromosome
go:0005709	MNXC1	prophase chromosome
go:0005710	MNXC1	metaphase chromosome
go:0005711	MNXC1	meiotic chromosome
go:0005712	MNXC6	chiasma
go:0005713	MNXC6	recombination nodule
go:0005714	MNXC6	early recombination nodule
go:0005715	MNXC6	late recombination nodule
go:0005719	MNXC6	nuclear euchromatin
go:0005720	MNXC6	nuclear heterochromatin
go:0005721	MNXC1	centromeric heterochromatin|centric heterochromatin
go:0005722	MNXC1	beta-heterochromatin
go:0005723	MNXC1	alpha-heterochromatin
go:0005724	MNXC6	nuclear telomeric heterochromatin
go:0005725	MNXC6	intercalary heterochromatin
go:0005726	MNXC6	perichromatin fibrils
go:0005727	MNXC1	extrachromosomal circular DNA
go:0005728	MNXC1	extrachromosomal rDNA circle|extrachromosomal ribosomal DNA circle
go:0005729	MNXC1	2-micrometer circle DNA
go:0005730	MNXC6	nucleolus
go:0005731	MNXC1	nucleolus organizer region|NOR|nucleolus organiser region
go:0005732	MNXC1	small nucleolar ribonucleoprotein complex|small nucleolar ribonucleoprotein|snoRNP
go:0005733	MNXC1	small nucleolar RNA|snoRNA
go:0005734	MNXC1	box C + D snoRNP protein
go:0005735	MNXC1	box H + ACA snoRNP protein
go:0005736	MNXC6	DNA-directed RNA polymerase I complex
go:0005737	MNXC3	cytoplasm
go:0005739	MNXC4	mitochondrion|mitochondria
go:0005740	MNXC4	mitochondrial envelope
go:0005741	MNXC5	mitochondrial outer membrane|outer mitochondrial membrane
go:0005742	MNXC5	mitochondrial outer membrane translocase complex
go:0005743	MNXC5	mitochondrial inner membrane|inner mitochondrial membrane
go:0005744	MNXC5	mitochondrial inner membrane presequence translocase complex|mitochondrial inner membrane pre-sequence translocase complex|mitochondrial inner membrane translocase complex
go:0005745	MNXC1	m-AAA complex
go:0005746	MNXC5	mitochondrial respiratory chain|mitochondrial electron transport chain
go:0005747	MNXC5	mitochondrial respiratory chain complex I
go:0005749	MNXC5	mitochondrial respiratory chain complex II|mitochondrial fumarate reductase complex
go:0005750	MNXC5	mitochondrial respiratory chain complex III|mitochondrial cytochrome bc1 complex|mitochondrial ubiquinol-cytochrome c oxidoreductase complex|mitochondrial cytochrome bc(1) complex|mitochondrial complex III|mitochondrial ubiquinol-cytochrome-c reductase complex
go:0005751	MNXC5	mitochondrial respiratory chain complex IV
go:0005753	MNXC5	mitochondrial proton-transporting ATP synthase complex|mitochondrial respiratory chain complex V
go:0005754	MNXC5	mitochondrial proton-transporting ATP synthase, catalytic core
go:0005755	MNXC1	hydrogen-transporting ATP synthase, coupling factor CF(0)
go:0005756	MNXC5	mitochondrial proton-transporting ATP synthase, central stalk
go:0005757	MNXC4	mitochondrial permeability transition pore complex|mitochondrial PT pore complex
go:0005758	MNXC4	mitochondrial intermembrane space|mitochondrial envelope lumen
go:0005759	MNXC4	mitochondrial matrix|mitochondrial lumen
go:0005760	MNXC4	gamma DNA polymerase complex
go:0005761	MNXC4	mitochondrial ribosome
go:0005762	MNXC4	mitochondrial large ribosomal subunit
go:0005763	MNXC4	mitochondrial small ribosomal subunit|mitochondrial ribosomal small subunit complex|mitochondrial ribosomal SSU complex
go:0005764	MNXC17	lysosome
go:0005765	MNXC17	lysosomal membrane
go:0005766	MNXC17	primary lysosome
go:0005767	MNXC17	secondary lysosome
go:0005768	MNXC3	endosome
go:0005769	MNXC3	early endosome
go:0005770	MNXC3	late endosome|prevacuolar compartment
go:0005771	MNXC3	multivesicular body|MVE|multivesicular endosome|MVB
go:0005773	MNXC9	vacuole
go:0005774	MNXC10	vacuolar membrane
go:0005775	MNXC9	vacuolar lumen
go:0005776	MNXC9	autophagic vacuole|autophagosome
go:0005777	MNXC13	peroxisome
go:0005778	MNXC14	peroxisomal membrane|peroxisome membrane
go:0005779	MNXC14	integral to peroxisomal membrane
go:0005780	MNXC14	extrinsic to intraperoxisomal membrane
go:0005781	MNXC1	peroxisome targeting signal receptor complex
go:0005782	MNXC13	peroxisomal matrix|peroxisomal lumen
go:0005783	MNXC11	endoplasmic reticulum|ER
go:0005784	MNXC12	Sec61 translocon complex
go:0005785	MNXC12	signal recognition particle receptor complex|SR complex
go:0005786	MNXC3	signal recognition particle, endoplasmic reticulum targeting|signal sequence receptor complex|SRP
go:0005787	MNXC12	signal peptidase complex
go:0005788	MNXC11	endoplasmic reticulum lumen|endoplasmic reticulum cisterna|ER lumen|ER cisterna|cisternal lumen
go:0005789	MNXC12	endoplasmic reticulum membrane|ER membrane
go:0005790	MNXC11	smooth endoplasmic reticulum|SER|smooth ER
go:0005791	MNXC11	rough endoplasmic reticulum|RER|rough ER
go:0005792	MNXC1	microsome
go:0005793	MNXC3	endoplasmic reticulum-Golgi intermediate compartment|pre-Golgi intermediate compartment|ER-Golgi intermediate compartment|vesicular-tubular cluster|ERGIC
go:0005794	MNXC15	Golgi apparatus|Golgi complex
go:0005795	MNXC15	Golgi stack|Golgi cisternae
go:0005796	MNXC15	Golgi lumen
go:0005797	MNXC15	Golgi medial cisterna
go:0005798	MNXC15	Golgi-associated vesicle
go:0005799	MNXC1	coatomer
go:0005800	MNXC1	COPII vesicle
go:0005801	MNXC1	cis-Golgi network|cis Golgi network
go:0005802	MNXC1	trans-Golgi network|trans Golgi network|TGN
go:0005803	MNXC1	secretory vesicle
go:0005804	MNXC1	secretory vesicle membrane
go:0005805	MNXC1	ER-Golgi transport vesicle
go:0005806	MNXC1	Golgi-ER transport vesicle
go:0005808	MNXC1	Golgi-plasma membrane transport vesicle
go:0005809	MNXC1	Golgi-vacuole transport vesicle
go:0005810	MNXC1	endocytotic transport vesicle
go:0005811	MNXC3	lipid particle|lipid body|adiposome|lipid droplet
go:0005813	MNXC3	centrosome
go:0005814	MNXC3	centriole
go:0005815	MNXC3	microtubule organizing center|microtubule organising centre|MTOC
go:0005816	MNXC3	spindle pole body|SPB
go:0005817	MNXC1	centrosomal mitotic factor
go:0005818	MNXC1	aster
go:0005819	MNXC1	spindle
go:0005821	MNXC3	intermediate layer of spindle pole body
go:0005822	MNXC3	inner plaque of spindle pole body
go:0005823	MNXC3	central plaque of spindle pole body
go:0005824	MNXC3	outer plaque of spindle pole body
go:0005825	MNXC3	half bridge of spindle pole body
go:0005826	MNXC3	actomyosin contractile ring|CAR|contractile actomyosin ring
go:0005827	MNXC1	polar microtubule|pole-to-pole microtubule
go:0005828	MNXC1	kinetochore microtubule|pole-to-kinetochore microtubule
go:0005829	MNXC3	cytosol
go:0005831	MNXC3	steroid hormone aporeceptor complex
go:0005832	MNXC3	chaperonin-containing T-complex|TriC|CCT particle
go:0005833	MNXC3	hemoglobin complex|haemoglobin complex
go:0005834	MNXC1	heterotrimeric G-protein complex
go:0005835	MNXC3	fatty acid synthase complex|fatty acid synthetase complex|cytosolic type I fatty acid synthase complex|cytosolic fatty acid synthase complex|cytosolic FAS complex|cytosolic type I FAS complex|FAS complex
go:0005836	MNXC3	fatty-acyl-CoA synthase complex|fatty acyl CoA synthase complex
go:0005837	MNXC1	26S proteasome
go:0005838	MNXC1	proteasome regulatory particle|PA700-dependent proteasome activator
go:0005839	MNXC1	proteasome core complex|macropain
go:0005840	MNXC3	ribosome
go:0005844	MNXC1	polysome|polyribosome
go:0005845	MNXC1	mRNA cap binding complex
go:0005846	MNXC1	nuclear cap binding complex
go:0005847	MNXC6	mRNA cleavage and polyadenylation specificity factor complex
go:0005848	MNXC6	mRNA cleavage stimulating factor complex
go:0005849	MNXC6	mRNA cleavage factor complex
go:0005850	MNXC3	eukaryotic translation initiation factor 2 complex|eIF-2|eIF2
go:0005851	MNXC3	eukaryotic translation initiation factor 2B complex|eif2B|eIF-2B
go:0005852	MNXC3	eukaryotic translation initiation factor 3 complex|eIF3|eIF-3
go:0005853	MNXC3	eukaryotic translation elongation factor 1 complex
go:0005854	MNXC3	nascent polypeptide-associated complex|NACA|NAC
go:0005856	MNXC1	cytoskeleton
go:0005858	MNXC1	axonemal dynein complex
go:0005859	MNXC3	muscle myosin complex
go:0005861	MNXC3	troponin complex
go:0005862	MNXC3	muscle thin filament tropomyosin
go:0005863	MNXC3	striated muscle myosin thick filament
go:0005865	MNXC3	striated muscle thin filament
go:0005868	MNXC3	cytoplasmic dynein complex
go:0005869	MNXC1	dynactin complex
go:0005870	MNXC1	actin capping protein of dynactin complex
go:0005871	MNXC1	kinesin complex
go:0005872	MNXC1	minus-end kinesin complex
go:0005873	MNXC1	plus-end kinesin complex
go:0005874	MNXC1	microtubule|microtubuli|microtubulus
go:0005875	MNXC1	microtubule associated complex
go:0005876	MNXC1	spindle microtubule
go:0005879	MNXC1	axonemal microtubule
go:0005880	MNXC6	nuclear microtubule
go:0005881	MNXC3	cytoplasmic microtubule
go:0005882	MNXC1	intermediate filament
go:0005883	MNXC1	neurofilament|type IV intermediate filament
go:0005884	MNXC1	actin filament|microfilament
go:0005885	MNXC1	Arp2/3 protein complex
go:0005886	MNXC20	plasma membrane|cytoplasmic membrane|plasmalemma|cell membrane
go:0005887	MNXC20	integral to plasma membrane
go:0005888	MNXC1	proteoglycan integral to plasma membrane
go:0005889	MNXC20	hydrogen:potassium-exchanging ATPase complex|hydrogen/potassium-exchanging ATPase complex
go:0005890	MNXC20	sodium:potassium-exchanging ATPase complex|sodium/potassium-exchanging ATPase complex
go:0005891	MNXC20	voltage-gated calcium channel complex|voltage gated calcium channel complex|voltage-dependent calcium channel complex|voltage-sensitive calcium channel complex
go:0005892	MNXC20	acetylcholine-gated channel complex|nicotinic acetylcholine-gated receptor-channel complex
go:0005893	MNXC20	interleukin-2 receptor complex|IL-2 receptor complex
go:0005894	MNXC20	interleukin-3 receptor complex|IL-3 receptor complex
go:0005895	MNXC20	interleukin-5 receptor complex|IL-5 receptor complex
go:0005896	MNXC20	interleukin-6 receptor complex|IL-6 receptor complex
go:0005897	MNXC20	interleukin-9 receptor complex|IL-9 receptor complex
go:0005898	MNXC20	interleukin-13 receptor complex|IL-13 receptor complex
go:0005899	MNXC20	insulin receptor complex
go:0005900	MNXC20	oncostatin-M receptor complex
go:0005901	MNXC20	caveola|caveolae
go:0005902	MNXC1	microvillus
go:0005903	MNXC1	brush border
go:0005905	MNXC1	coated pit
go:0005906	MNXC1	clathrin adaptor
go:0005907	MNXC1	HA1 clathrin adaptor
go:0005908	MNXC1	HA2 clathrin adaptor
go:0005911	MNXC1	cell-cell junction|intercellular junction
go:0005912	MNXC1	adherens junction
go:0005913	MNXC1	cell-cell adherens junction
go:0005914	MNXC1	spot adherens junction|punctum adherens
go:0005915	MNXC20	zonula adherens|zonula adhaerens|belt desmosome|fascia adhaerens|intermediate junction|adhesion belt
go:0005916	MNXC1	fascia adherens
go:0005917	MNXC1	nephrocyte diaphragm
go:0005918	MNXC20	septate junction
go:0005919	MNXC20	pleated septate junction
go:0005920	MNXC20	smooth septate junction|zonula continua
go:0005921	MNXC1	gap junction|macula communicans|communicating junction|zonula communicans
go:0005922	MNXC20	connexon complex
go:0005923	MNXC20	tight junction|zonula occludens
go:0005924	MNXC1	cell-substrate adherens junction
go:0005925	MNXC1	focal adhesion|focal contact
go:0005926	MNXC1	connecting hemi-adherens junction
go:0005927	MNXC1	muscle tendon junction|myotendinous junction
go:0005928	MNXC1	apical hemi-adherens junction|apical dense plaque|apical cell-substrate adherens junction
go:0005929	MNXC1	cilium
go:0005930	MNXC1	axoneme
go:0005931	MNXC1	nexin complex
go:0005932	MNXC3	microtubule basal body
go:0005933	MNXC1	cellular bud
go:0005934	MNXC1	cellular bud tip
go:0005935	MNXC1	cellular bud neck
go:0005936	MNXC1	shmoo
go:0005937	MNXC1	mating projection
go:0005938	MNXC3	cell cortex
go:0005940	MNXC3	septin ring
go:0005941	MNXC1	unlocalized protein complex
go:0005942	MNXC3	phosphatidylinositol 3-kinase complex|1-phosphatidylinositol 3-kinase complex|PI3K complex|phosphoinositide 3-kinase complex
go:0005943	MNXC3	1-phosphatidylinositol-4-phosphate 3-kinase, class IA complex|1-phosphatidylinositol-4-phosphate kinase, class IA complex|class IA PI3K complex|phosphoinositide 3-kinase complex, class IA
go:0005944	MNXC3	1-phosphatidylinositol-4-phosphate 3-kinase, class IB complex|class IB PI3K complex|phosphoinositide 3-kinase complex, class IB
go:0005945	MNXC3	6-phosphofructokinase complex
go:0005946	MNXC3	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)|trehalose-6-phosphate synthase/phosphatase|UDP-glucose-glucosephosphate glucosyltransferase complex|trehalose-6-phosphate synthase complex
go:0005947	MNXC4	mitochondrial alpha-ketoglutarate dehydrogenase complex
go:0005948	MNXC3	acetolactate synthase complex|acetohydroxyacid synthase complex
go:0005949	MNXC1	aminoadipate-semialdehyde dehydrogenase complex
go:0005950	MNXC3	anthranilate synthase complex
go:0005951	MNXC3	carbamoyl-phosphate synthase complex|carbamoyl phosphate synthase complex
go:0005952	MNXC1	cAMP-dependent protein kinase complex|cyclic AMP-dependent protein kinase complex|3',5' cAMP-dependent protein kinase complex|adenosine 3',5'-cyclophosphate-dependent protein kinase complex|3',5'-cAMP-dependent protein kinase complex
go:0005953	MNXC1	CAAX-protein geranylgeranyltransferase complex
go:0005954	MNXC1	calcium- and calmodulin-dependent protein kinase complex|CAMK2|calcium/calmodulin-dependent protein kinase complex
go:0005955	MNXC1	calcineurin complex|protein phosphatase type 2B complex
go:0005956	MNXC1	protein kinase CK2 complex|casein kinase II complex
go:0005957	MNXC1	debranching enzyme
go:0005958	MNXC6	DNA-dependent protein kinase-DNA ligase 4 complex
go:0005960	MNXC3	glycine cleavage complex|glycine cleavage system|glycine dehydrogenase (decarboxylating) complex|glycine decarboxylase complex|glycine synthase complex
go:0005962	MNXC4	mitochondrial isocitrate dehydrogenase complex (NAD+)
go:0005963	MNXC1	magnesium-dependent protein serine/threonine phosphatase complex
go:0005964	MNXC3	phosphorylase kinase complex
go:0005965	MNXC3	protein farnesyltransferase complex
go:0005966	MNXC1	cyclic-nucleotide phosphodiesterase complex
go:0005967	MNXC4	mitochondrial pyruvate dehydrogenase complex
go:0005968	MNXC3	Rab-protein geranylgeranyltransferase complex|RabGGTase complex|Rab geranylgeranyltransferase complex|GGTase-II complex|RAB-protein geranylgeranyltransferase complex
go:0005969	MNXC3	serine-pyruvate aminotransferase complex
go:0005971	MNXC3	ribonucleoside-diphosphate reductase complex|RNR complex|ribonucleotide reductase complex
go:0005972	MNXC1	fibrinogen alpha chain
go:0005973	MNXC1	fibrinogen beta chain
go:0005974	MNXC1	fibrinogen gamma chain
go:0008002	MNXC1	lamina lucida
go:0008003	MNXC1	lamina densa
go:0008004	MNXC1	lamina reticularis
go:0008008	MNXC1	membrane attack complex protein beta2 chain
go:0008021	MNXC1	synaptic vesicle
go:0008023	MNXC6	transcription elongation factor complex
go:0008024	MNXC6	positive transcription elongation factor complex b|P-TEFb
go:0008043	MNXC1	intracellular ferritin complex
go:0008051	MNXC1	farnesyl-diphosphate farnesyl transferase complex
